,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1770,420,-1.0,
1,2,1,1,0,0,0,453,279,1312,27,-1.0,
2,3,1,1,1,0,0,453,279,1312,27,-1.0,
3,4,1,1,1,1,0,453,279,1312,27,-1.0,
4,5,1,1,1,1,1,453,279,1312,27,95.0, 
5,2,1,2,0,0,0,12,315,1346,66,-1.0,
6,3,1,2,1,0,0,12,315,1346,66,-1.0,
7,4,1,2,1,1,0,12,315,1346,32,-1.0,
8,5,1,2,1,1,1,12,320,87,22,86.50943,KorAa
9,5,1,2,1,1,2,121,323,41,17,46.646687,Mbl
10,5,1,2,1,1,3,184,315,72,25,64.133377,6bIAM
11,5,1,2,1,1,4,277,323,12,17,87.167046,B
12,5,1,2,1,1,5,312,323,184,20,54.076073,"Mara3nHe,"
13,5,1,2,1,1,6,479,311,20,39,94.120773,A
14,5,1,2,1,1,7,517,315,126,32,70.649208,o6patua
15,5,1,2,1,1,8,664,323,148,17,6.732567,BHUMaHMe
16,5,1,2,1,1,9,833,323,31,17,96.273651,Ha
17,5,1,2,1,1,10,884,323,44,21,93.204346,"TO,"
18,5,1,2,1,1,11,953,323,45,17,0.0,¥TO
19,5,1,2,1,1,12,1019,323,51,17,74.653938,OHM
20,5,1,2,1,1,13,1091,323,134,24,45.199593,NpOAAlOT
21,5,1,2,1,1,14,1247,323,76,17,95.457993,WEAK
22,5,1,2,1,1,15,1344,323,14,17,37.574692,MU
23,4,1,2,1,2,0,12,348,1334,33,-1.0,
24,5,1,2,1,2,1,12,350,104,24,10.781288,HM3KOM
25,5,1,2,1,2,2,138,357,79,19,75.357742,WeHe.
26,5,1,2,1,2,3,238,354,63,22,70.689552,ECAM
27,5,1,2,1,2,4,322,348,36,26,0.0,6b
28,5,1,2,1,2,5,379,357,13,17,53.727081,9
29,5,1,2,1,2,6,412,348,55,26,39.719353,GbIA
30,5,1,2,1,2,7,488,357,30,17,89.352844,Ha
31,5,1,2,1,2,8,540,357,102,17,39.915852,BaliemM
32,5,1,2,1,2,9,663,357,104,21,87.955971,"MeCTE,"
33,5,1,2,1,2,10,787,357,13,17,96.889923,A
34,5,1,2,1,2,11,821,348,36,26,92.108902,Obl
35,5,1,2,1,2,12,881,357,79,17,90.151596,3aHAA
36,5,1,2,1,2,13,980,357,90,19,72.283173,AeHer
37,5,1,2,1,2,14,1090,357,14,24,44.566513,yY
38,5,1,2,1,2,15,1125,357,221,24,0.0,POCTOBLIMKa....
39,2,1,3,0,0,0,1379,323,268,19,-1.0,
40,3,1,3,1,0,0,1379,323,268,19,-1.0,
41,4,1,3,1,1,0,1379,323,268,19,-1.0,
42,5,1,3,1,1,1,1379,323,107,19,13.821411,CaHAadA
43,5,1,3,1,1,2,1506,323,34,17,93.257874,NO
44,5,1,3,1,1,3,1561,323,86,17,35.931458,OYCHb
